Entity,Code,Year,Biologically sustainable,Overexploited
Albania,ALB,2018,14.29,85.71
Albania,ALB,2021,33.3,66.7
Algeria,DZA,2021,75,25
Angola,AGO,2018,55.56,44.44
Antigua and Barbuda,ATG,2018,100,0
Argentina,ARG,2018,76.92,23.080002
Argentina,ARG,2021,92.31,7.6900024
Australia,AUS,2018,75.4,24.599998
Australia,AUS,2021,93.62,6.3799973
Bangladesh,BGD,2021,88.89,11.110001
Belgium,BEL,2018,84.62,15.379997
Belgium,BEL,2021,64.29,35.71
Belize,BLZ,2018,100,0
Bonaire Sint Eustatius and Saba,BES,2018,30.56,69.44
Bonaire Sint Eustatius and Saba,BES,2021,28.57,71.43
Bulgaria,BGR,2018,16.67,83.33
Bulgaria,BGR,2021,14.29,85.71
Canada,CAN,2018,100,0
Cape Verde,CPV,2018,50,50
Chile,CHL,2018,28,72
Chile,CHL,2021,24,76
Colombia,COL,2018,17.39,82.61
Colombia,COL,2021,47.73,52.27
Comoros,COM,2018,0,100
Costa Rica,CRI,2021,0,100
Croatia,HRV,2018,20,80
Croatia,HRV,2021,50,50
Cuba,CUB,2018,96.15,3.8499985
Cuba,CUB,2021,66.67,33.33
Cyprus,CYP,2018,87.5,12.5
Cyprus,CYP,2021,61.54,38.46
Eastern Central Atlantic (FAO),,2004,77.42,22.580002
Eastern Central Atlantic (FAO),,2006,47.37,52.63
Eastern Central Atlantic (FAO),,2008,45.1,54.9
Eastern Central Atlantic (FAO),,2009,46.67,53.33
Eastern Central Atlantic (FAO),,2011,52.38,47.62
Eastern Central Atlantic (FAO),,2013,53.49,46.51
Eastern Central Atlantic (FAO),,2015,57.14,42.86
Eastern Central Atlantic (FAO),,2017,57.14,42.86
Eastern Central Atlantic (FAO),,2019,60,40
Eastern Central Atlantic (FAO),,2021,48.7,51.3
Eastern Central Pacific (FAO),,2004,80.95,19.050003
Eastern Central Pacific (FAO),,2006,82.35,17.650002
Eastern Central Pacific (FAO),,2008,87.5,12.5
Eastern Central Pacific (FAO),,2009,90.91,9.089996
Eastern Central Pacific (FAO),,2011,90.91,9.089996
Eastern Central Pacific (FAO),,2013,90.91,9.089996
Eastern Central Pacific (FAO),,2015,86.67,13.330002
Eastern Central Pacific (FAO),,2017,86.67,13.330002
Eastern Central Pacific (FAO),,2019,85.7,14.300003
Eastern Central Pacific (FAO),,2021,84.2,15.800003
Eastern Indian Ocean (FAO),,2004,85.71,14.290001
Eastern Indian Ocean (FAO),,2006,79.25,20.75
Eastern Indian Ocean (FAO),,2008,78.72,21.279999
Eastern Indian Ocean (FAO),,2009,79.49,20.510002
Eastern Indian Ocean (FAO),,2011,89.74,10.260002
Eastern Indian Ocean (FAO),,2013,84.78,15.220001
Eastern Indian Ocean (FAO),,2015,73.08,26.919998
Eastern Indian Ocean (FAO),,2017,68.63,31.370003
Eastern Indian Ocean (FAO),,2019,65.3,34.699997
Eastern Indian Ocean (FAO),,2021,63.5,36.5
Ecuador,ECU,2021,71.43,28.57
Egypt,EGY,2021,0,100
El Salvador,SLV,2021,0,100
Estonia,EST,2018,87.5,12.5
Estonia,EST,2021,66.67,33.33
Finland,FIN,2018,80,20
Finland,FIN,2021,55.56,44.44
France,FRA,2021,58.82,41.18
Gambia,GMB,2018,77.78,22.220001
Georgia,GEO,2018,100,0
Georgia,GEO,2021,33.33,66.67
Germany,DEU,2021,70.59,29.410004
Ghana,GHA,2021,11.11,88.89
Greece,GRC,2021,90.91,9.089996
Guyana,GUY,2021,100,0
Iceland,ISL,2021,76.92,23.080002
Indonesia,IDN,2018,23.53,76.47
Indonesia,IDN,2021,64.65,35.35
Iran,IRN,2018,100,0
Ireland,IRL,2018,50,50
Ireland,IRL,2021,72,28
Italy,ITA,2018,14.29,85.71
Italy,ITA,2021,32.14,67.86
Japan,JPN,2018,71.43,28.57
Japan,JPN,2021,44.74,55.26
Kazakhstan,KAZ,2018,85.19,14.809998
Kenya,KEN,2018,28.57,71.43
Latvia,LVA,2018,100,0
Latvia,LVA,2021,50,50
Lebanon,LBN,2018,0,100
Lithuania,LTU,2021,50,50
Malaysia,MYS,2018,47.37,52.63
Malaysia,MYS,2021,57.9,42.1
Malta,MLT,2021,40,60
Marshall Islands,MHL,2018,100,0
Mauritius,MUS,2018,100,0
Mauritius,MUS,2021,80,20
Mediterranean and Black Sea (FAO),,2004,65.85,34.15
Mediterranean and Black Sea (FAO),,2006,69.77,30.230003
Mediterranean and Black Sea (FAO),,2008,53.19,46.81
Mediterranean and Black Sea (FAO),,2009,50,50
Mediterranean and Black Sea (FAO),,2011,48,52
Mediterranean and Black Sea (FAO),,2013,40.62,59.38
Mediterranean and Black Sea (FAO),,2015,37.84,62.16
Mediterranean and Black Sea (FAO),,2017,37.5,62.5
Mediterranean and Black Sea (FAO),,2019,36.7,63.3
Mediterranean and Black Sea (FAO),,2021,37.5,62.5
Morocco,MAR,2021,50,50
Mozambique,MOZ,2018,37.5,62.5
Namibia,NAM,2018,50,50
New Zealand,NZL,2018,82.61,17.39
New Zealand,NZL,2021,80,20
Nicaragua,NIC,2018,77.78,22.220001
Nigeria,NGA,2021,72.41,27.589996
Northeast Atlantic (FAO),,2004,63.64,36.36
Northeast Atlantic (FAO),,2006,74.19,25.809998
Northeast Atlantic (FAO),,2008,73.08,26.919998
Northeast Atlantic (FAO),,2009,69.23,30.769997
Northeast Atlantic (FAO),,2011,84.62,15.379997
Northeast Atlantic (FAO),,2013,78.57,21.43
Northeast Atlantic (FAO),,2015,73.47,26.529999
Northeast Atlantic (FAO),,2017,79.31,20.690002
Northeast Atlantic (FAO),,2019,72.7,27.300003
Northeast Atlantic (FAO),,2021,79.4,20.599998
Northeast Pacific (FAO),,2004,68.42,31.580002
Northeast Pacific (FAO),,2006,66.67,33.33
Northeast Pacific (FAO),,2008,82.35,17.650002
Northeast Pacific (FAO),,2009,90,10
Northeast Pacific (FAO),,2011,88,12
Northeast Pacific (FAO),,2013,86.21,13.790001
Northeast Pacific (FAO),,2015,85.71,14.290001
Northeast Pacific (FAO),,2017,83.87,16.129997
Northeast Pacific (FAO),,2019,86.2,13.800003
Northeast Pacific (FAO),,2021,76.5,23.5
Northwest Atlantic (FAO),,2004,88.57,11.43
Northwest Atlantic (FAO),,2006,66.67,33.33
Northwest Atlantic (FAO),,2008,77.78,22.220001
Northwest Atlantic (FAO),,2009,83.33,16.669998
Northwest Atlantic (FAO),,2011,72.41,27.589996
Northwest Atlantic (FAO),,2013,68.97,31.029999
Northwest Atlantic (FAO),,2015,73.91,26.089996
Northwest Atlantic (FAO),,2017,56.25,43.75
Northwest Atlantic (FAO),,2019,61.1,38.9
Northwest Atlantic (FAO),,2021,64.3,35.699997
Northwest Pacific (FAO),,2004,90,10
Northwest Pacific (FAO),,2006,90,10
Northwest Pacific (FAO),,2008,78.95,21.050003
Northwest Pacific (FAO),,2009,84.21,15.790001
Northwest Pacific (FAO),,2011,78.95,21.050003
Northwest Pacific (FAO),,2013,76.19,23.809998
Northwest Pacific (FAO),,2015,82.69,17.309998
Northwest Pacific (FAO),,2017,65.38,34.620003
Northwest Pacific (FAO),,2019,55,45
Northwest Pacific (FAO),,2021,44,56
Norway,NOR,2021,50,50
Oman,OMN,2021,50,50
Pakistan,PAK,2018,0,100
Peru,PER,2021,100,0
Philippines,PHL,2018,100,0
Philippines,PHL,2021,100,0
Poland,POL,2018,60,40
Poland,POL,2021,0,100
Portugal,PRT,2018,85.71,14.290001
Portugal,PRT,2021,83.33,16.669998
Qatar,QAT,2018,74.36,25.64
Qatar,QAT,2021,89.47,10.529999
Romania,ROU,2018,100,0
Romania,ROU,2021,100,0
Saint Helena,SHN,2018,57.14,42.86
Saudi Arabia,SAU,2018,100,0
Seychelles,SYC,2018,30,70
Seychelles,SYC,2021,100,0
South Africa,ZAF,2021,83.33,16.669998
Southeast Atlantic (FAO),,2004,56.52,43.48
Southeast Atlantic (FAO),,2006,53.85,46.15
Southeast Atlantic (FAO),,2008,45.16,54.84
Southeast Atlantic (FAO),,2009,50,50
Southeast Atlantic (FAO),,2011,50,50
Southeast Atlantic (FAO),,2013,58.62,41.38
Southeast Atlantic (FAO),,2015,67.65,32.35
Southeast Atlantic (FAO),,2017,67.65,32.35
Southeast Atlantic (FAO),,2019,64.7,35.300003
Southeast Atlantic (FAO),,2021,59.5,40.5
Southeast Pacific (FAO),,2004,56.52,43.48
Southeast Pacific (FAO),,2006,58.33,41.67
Southeast Pacific (FAO),,2008,77.78,22.220001
Southeast Pacific (FAO),,2009,72.73,27.269997
Southeast Pacific (FAO),,2011,63.64,36.36
Southeast Pacific (FAO),,2013,58.33,41.67
Southeast Pacific (FAO),,2015,38.46,61.54
Southeast Pacific (FAO),,2017,45.45,54.55
Southeast Pacific (FAO),,2019,33.3,66.7
Southeast Pacific (FAO),,2021,33.3,66.7
Southwest Atlantic (FAO),,2004,70.37,29.629997
Southwest Atlantic (FAO),,2006,61.9,38.1
Southwest Atlantic (FAO),,2008,50,50
Southwest Atlantic (FAO),,2009,47.62,52.38
Southwest Atlantic (FAO),,2011,45,55
Southwest Atlantic (FAO),,2013,50,50
Southwest Atlantic (FAO),,2015,41.18,58.82
Southwest Atlantic (FAO),,2017,46.67,53.33
Southwest Atlantic (FAO),,2019,60,40
Southwest Atlantic (FAO),,2021,58.8,41.2
Southwest Pacific (FAO),,2004,89.29,10.709999
Southwest Pacific (FAO),,2006,77.27,22.730003
Southwest Pacific (FAO),,2008,81.82,18.18
Southwest Pacific (FAO),,2009,88,12
Southwest Pacific (FAO),,2011,84,16
Southwest Pacific (FAO),,2013,87.5,12.5
Southwest Pacific (FAO),,2015,74.07,25.93
Southwest Pacific (FAO),,2017,84.62,15.379997
Southwest Pacific (FAO),,2019,76.9,23.099998
Southwest Pacific (FAO),,2021,75.9,24.099998
Spain,ESP,2018,72.73,27.269997
Spain,ESP,2021,41.38,58.62
Sri Lanka,LKA,2021,40,60
Sweden,SWE,2018,69.23,30.769997
Sweden,SWE,2021,46.43,53.57
Tanzania,TZA,2018,96,4
Tanzania,TZA,2021,100,0
Thailand,THA,2021,50,50
Togo,TGO,2018,0,100
Togo,TGO,2021,40,60
Trinidad and Tobago,TTO,2018,31.25,68.75
Tunisia,TUN,2018,44.44,55.56
Tunisia,TUN,2021,31.25,68.75
Turkey,TUR,2018,16.67,83.33
Turkey,TUR,2021,33.33,66.67
Tuvalu,TUV,2021,35,65
Ukraine,UKR,2018,63.64,36.36
United Arab Emirates,ARE,2021,63.64,36.36
United Kingdom,GBR,2017,59.64,40.36
United Kingdom,GBR,2019,57.89,42.11
United States,USA,2016,74,26
United States,USA,2021,76,24
Uruguay,URY,2021,100,0
Vanuatu,VUT,2021,31.58,68.42
Wallis and Futuna,WLF,2021,35.71,64.29
Western Central Atlantic (FAO),,2004,70.83,29.169998
Western Central Atlantic (FAO),,2006,72.41,27.589996
Western Central Atlantic (FAO),,2008,60,40
Western Central Atlantic (FAO),,2009,45.83,54.17
Western Central Atlantic (FAO),,2011,63.33,36.67
Western Central Atlantic (FAO),,2013,55.56,44.44
Western Central Atlantic (FAO),,2015,60.34,39.66
Western Central Atlantic (FAO),,2017,61.4,38.6
Western Central Atlantic (FAO),,2019,62.2,37.8
Western Central Atlantic (FAO),,2021,58,42
Western Central Pacific (FAO),,2004,94.34,5.6600037
Western Central Pacific (FAO),,2006,94.74,5.260002
Western Central Pacific (FAO),,2008,76.6,23.400002
Western Central Pacific (FAO),,2009,85.29,14.709999
Western Central Pacific (FAO),,2011,86.11,13.889999
Western Central Pacific (FAO),,2013,77.5,22.5
Western Central Pacific (FAO),,2015,82.61,17.39
Western Central Pacific (FAO),,2017,77.55,22.449997
Western Central Pacific (FAO),,2019,79.6,20.400002
Western Central Pacific (FAO),,2021,65.2,34.800003
Western Indian Ocean (FAO),,2004,75,25
Western Indian Ocean (FAO),,2006,75,25
Western Indian Ocean (FAO),,2008,83.33,16.669998
Western Indian Ocean (FAO),,2009,70.59,29.410004
Western Indian Ocean (FAO),,2011,75,25
Western Indian Ocean (FAO),,2013,66.67,33.33
Western Indian Ocean (FAO),,2015,66.67,33.33
Western Indian Ocean (FAO),,2017,68.29,31.71
Western Indian Ocean (FAO),,2019,62.5,37.5
Western Indian Ocean (FAO),,2021,62.5,37.5
World,OWID_WRL,1974,90,10
World,OWID_WRL,1975,90.37,9.629997
World,OWID_WRL,1976,90.73,9.269997
World,OWID_WRL,1977,91.1,8.900002
World,OWID_WRL,1978,91.46,8.540001
World,OWID_WRL,1979,86.98,13.019997
World,OWID_WRL,1980,86.7,13.300003
World,OWID_WRL,1981,86.42,13.580002
World,OWID_WRL,1982,84.88,15.120003
World,OWID_WRL,1983,83.33,16.669998
World,OWID_WRL,1984,82.58,17.419998
World,OWID_WRL,1985,81.82,18.18
World,OWID_WRL,1986,78.75,21.25
World,OWID_WRL,1987,75.68,24.32
World,OWID_WRL,1988,74.52,25.480003
World,OWID_WRL,1989,73.37,26.629997
World,OWID_WRL,1990,81.87,18.129997
World,OWID_WRL,1991,79.32,20.68
World,OWID_WRL,1992,76.78,23.220001
World,OWID_WRL,1993,75.96,24.04
World,OWID_WRL,1994,75.14,24.86
World,OWID_WRL,1995,74.32,25.68
World,OWID_WRL,1996,75.65,24.349998
World,OWID_WRL,1997,76.97,23.029999
World,OWID_WRL,1998,75.57,24.43
World,OWID_WRL,1999,74.18,25.82
World,OWID_WRL,2000,72.79,27.21
World,OWID_WRL,2001,73.69,26.309998
World,OWID_WRL,2002,74.59,25.410004
World,OWID_WRL,2003,75.49,24.510002
World,OWID_WRL,2004,76.39,23.61
World,OWID_WRL,2005,74.38,25.620003
World,OWID_WRL,2006,72.37,27.629997
World,OWID_WRL,2007,69.7,30.300003
World,OWID_WRL,2008,67.02,32.980003
World,OWID_WRL,2009,69.55,30.449997
World,OWID_WRL,2010,70.32,29.68
World,OWID_WRL,2011,71.08,28.919998
World,OWID_WRL,2012,69.54,30.46
World,OWID_WRL,2013,68,32
World,OWID_WRL,2014,67.33,32.67
World,OWID_WRL,2015,66.67,33.33
World,OWID_WRL,2016,66.26,33.739998
World,OWID_WRL,2017,65.85,34.15
World,OWID_WRL,2018,65.21,34.79
World,OWID_WRL,2019,64.57,35.43
World,OWID_WRL,2020,63.45,36.55
World,OWID_WRL,2021,62.33,37.67
Yemen,YEM,2018,100,0
